method,w,av_c_num,std_c_num,av_sq,std_sq,av_tq,std_tq,av_total_score,av_purity,std_purity
baseline,0.0,2.076923076923077,0.32150487494808627,0.7213099141168923,0.022743209277500672,0.5513846153846155,0.3253885990390803,0.6363472647507539,0.19056410256410258,0.0578988858520264
moscat,0.0,2.076923076923077,0.32150487494808627,0.7213099141168923,0.022743209277500672,0.5513846153846155,0.3253885990390803,0.6363472647507539,0.19056410256410258,0.0578988858520264
moscat,0.1,2.046153846153846,0.21145103088313016,0.7211790516197104,0.022978366141457676,0.5640000000000001,0.31811849207488707,0.6425895258098553,0.18635897435897436,0.047209355964663295
moscat,0.2,2.0615384615384613,0.2421855614066333,0.7199538332012897,0.02601286677221544,0.5581538461538462,0.3152374715377892,0.6390538396775679,0.1864102564102564,0.04720782837442387
moscat,0.30000000000000004,2.0615384615384613,0.2421855614066333,0.7188397509051064,0.02577861490120317,0.5735384615384617,0.2916463546040755,0.646189106221784,0.18666666666666665,0.04714781719938545
moscat,0.4,2.0615384615384613,0.2421855614066333,0.7086649199272763,0.02905084556511749,0.6356923076923077,0.20732650299986696,0.672178613809792,0.17923076923076922,0.004742290189277348
moscat,0.5,2.1538461538461537,0.36360904617671225,0.698327309340852,0.03419516403579773,0.6750769230769232,0.19572080782426945,0.6867021162088877,0.18015384615384608,0.004802732484350892
moscat,0.6000000000000001,2.1538461538461537,0.36360904617671225,0.697956549522836,0.03452080602678898,0.6813846153846155,0.19726946135835466,0.6896705824537257,0.18015384615384608,0.004802732484350892
moscat,0.7000000000000001,2.1538461538461537,0.36360904617671225,0.6979073076666724,0.03465612649484064,0.681846153846154,0.19791800944213858,0.6898767307564133,0.18020512820512816,0.004854727187842387
moscat,0.8,2.1538461538461537,0.36360904617671225,0.6979073076666724,0.03465612649484064,0.681846153846154,0.19791800944213858,0.6898767307564133,0.18020512820512816,0.004854727187842387
moscat,0.9,2.1538461538461537,0.36360904617671225,0.6979073076666724,0.03465612649484064,0.681846153846154,0.19791800944213858,0.6898767307564133,0.18020512820512816,0.004854727187842387
moscat,1.0,2.1538461538461537,0.36360904617671225,0.6979073076666724,0.03465612649484064,0.681846153846154,0.19791800944213858,0.6898767307564133,0.18020512820512816,0.004854727187842387
evol,0.0,2.076923076923077,0.32150487494808627,0.7213099141168923,0.022743209277500672,0.5687692307692308,0.30197530782906995,0.6450395724430615,0.19056410256410258,0.0578988858520264
evol,0.1,2.0,0.0,0.7148099304322693,0.02237375319802891,0.5963076923076925,0.23101386072301777,0.655558811369981,0.17789743589743587,0.005156213577959932
evol,0.2,2.0,0.0,0.7087040686257026,0.024042537931976637,0.6940000000000001,0.19680097814797567,0.7013520343128513,0.17969230769230757,0.004629430195134589
evol,0.30000000000000004,2.0,0.0,0.7081388600034906,0.0240844879382523,0.7013846153846155,0.18628671553445614,0.7047617376940529,0.1798974358974358,0.004328893188716511
evol,0.4,2.0,0.0,0.7081388600034906,0.0240844879382523,0.7013846153846155,0.18628671553445614,0.7047617376940529,0.1798974358974358,0.004328893188716511
evol,0.5,2.0307692307692307,0.17403580533459642,0.7052963102428055,0.023155330604818773,0.7069230769230771,0.18238800567851116,0.7061096935829413,0.18025641025641015,0.004576043153224291
evol,0.6000000000000001,2.0307692307692307,0.17403580533459642,0.7052963102428055,0.023155330604818773,0.7069230769230771,0.18238800567851116,0.7061096935829413,0.18025641025641015,0.004576043153224291
evol,0.7000000000000001,2.0307692307692307,0.17403580533459642,0.7052963102428055,0.023155330604818773,0.7069230769230771,0.18238800567851116,0.7061096935829413,0.18025641025641015,0.004576043153224291
evol,0.8,2.0307692307692307,0.17403580533459642,0.7052963102428055,0.023155330604818773,0.7069230769230771,0.18238800567851116,0.7061096935829413,0.18025641025641015,0.004576043153224291
evol,0.9,2.0307692307692307,0.17403580533459642,0.7052963102428055,0.023155330604818773,0.7069230769230771,0.18238800567851116,0.7061096935829413,0.18025641025641015,0.004576043153224291
evol,1.0,2.0307692307692307,0.17403580533459642,0.7052963102428055,0.023155330604818773,0.7069230769230771,0.18238800567851116,0.7061096935829413,0.18025641025641015,0.004576043153224291
