method,k,w,av_sq,std_sq,av_tq,std_tq,av_oq,std_oq,av_purity,std_purity
baseline,2,0.0,0.8317657130542194,0.02709055299497077,0.9224048036882039,0.1039811498147638,0.8770852583712114,0.04879726894919058,0.3711249999999998,0.04573664042950441
baseline,3,0.0,0.8357367721940139,0.02793460696365037,0.916013031767823,0.10487734510094161,0.8758749019809183,0.04864279362768016,0.38787499999999986,0.04847598463010923
baseline,4,0.0,0.8513455490798008,0.025571576480435548,0.9069348011183783,0.09916444823018564,0.8791401750990897,0.04605574001982476,0.4500000000000001,0.04588495715296346
baseline,5,0.0,0.8529414760186037,0.02725057024877112,0.9055683673988186,0.09976811794256328,0.8792549217087113,0.04639098027997664,0.4510000000000002,0.045493922338010924
baseline,6,0.0,0.8679823260947583,0.024531623462117593,0.8910339632927368,0.09702603280337894,0.8795081446937477,0.04621676109420434,0.47587499999999994,0.03536672057517383
baseline,7,0.0,0.8559041340654967,0.029992422866868044,0.9020368664378994,0.09919197864241235,0.8789705002516982,0.046054288630767895,0.4592500000000001,0.04805628539178372
baseline,8,0.0,0.8694112286547369,0.026406647758582175,0.8881393657960674,0.0973590866050876,0.8787752972254023,0.046417096538597075,0.48474999999999996,0.0416886305746773
baseline,9,0.0,0.8697773083372377,0.02670714089024452,0.8883860615957327,0.09695558942706377,0.8790816849664855,0.04624646062915535,0.4838749999999999,0.04025232128321134
baseline,10,0.0,0.8561275307588345,0.03066957148917607,0.9018673885311024,0.09937990925871175,0.8789974596449686,0.0460235558840306,0.4607500000000001,0.04697342360582764
evol,2,0.0,0.8317657130542194,0.02709055299497077,0.9224048036882039,0.1039811498147638,0.8770852583712114,0.04879726894919058,0.3711249999999998,0.04573664042950441
evol,2,0.1,0.8330019159841587,0.027693194663416323,0.9899920273582218,0.09999922646116532,0.9114969716711901,0.04469350876750886,0.27999999999999997,0.016380112356393667
evol,2,0.2,0.8329958718289981,0.027688731411181045,0.99,0.1,0.9114979359144989,0.044699072096508835,0.28087499999999993,0.016709698236398972
evol,2,0.30000000000000004,0.8329958718289981,0.027688731411181045,0.99,0.1,0.9114979359144989,0.044699072096508835,0.28087499999999993,0.016709698236398972
evol,2,0.4,0.8329958718289981,0.027688731411181045,0.99,0.1,0.9114979359144989,0.044699072096508835,0.28087499999999993,0.016709698236398972
evol,2,0.5,0.8329958718289981,0.027688731411181045,0.99,0.1,0.9114979359144989,0.044699072096508835,0.28087499999999993,0.016709698236398972
evol,2,0.6000000000000001,0.8329958718289981,0.027688731411181045,0.99,0.1,0.9114979359144989,0.044699072096508835,0.28087499999999993,0.016709698236398972
evol,2,0.7000000000000001,0.8329958718289981,0.027688731411181045,0.99,0.1,0.9114979359144989,0.044699072096508835,0.28087499999999993,0.016709698236398972
evol,2,0.8,0.8329958718289981,0.027688731411181045,0.99,0.1,0.9114979359144989,0.044699072096508835,0.28087499999999993,0.016709698236398972
evol,2,0.9,0.8329958718289981,0.027688731411181045,0.99,0.1,0.9114979359144989,0.044699072096508835,0.28087499999999993,0.016709698236398972
evol,2,1.0,0.8329958718289981,0.027688731411181045,0.99,0.1,0.9114979359144989,0.044699072096508835,0.28087499999999993,0.016709698236398972
evol,3,0.0,0.8357367721940139,0.02793460696365037,0.916013031767823,0.10487734510094161,0.8758749019809183,0.04864279362768016,0.38787499999999986,0.04847598463010923
evol,3,0.1,0.8460300221242101,0.025027573936347428,0.9679262595934967,0.10829376312208934,0.9069781408588536,0.0487708559938632,0.42099999999999993,0.043876260809534155
evol,3,0.2,0.8489723534493888,0.024063159915861186,0.9892472414377326,0.10020707211382103,0.9191097974435607,0.04500157975353866,0.3951250000000001,0.036406402408966976
evol,3,0.30000000000000004,0.8400311509315056,0.026492947330504044,0.99,0.1,0.9150155754657529,0.04479831002249952,0.39762499999999984,0.03750820617282344
