method,k,w,av_sq,std_sq,av_tq,std_tq,av_total_score,av_purity,std_purity
baseline,2,0.0,0.8018372751432012,0.01593510583086192,0.9708341570244202,0.1228337732802854,0.8863357160838107,0.3247692307692306,0.01251345429773643
baseline,3,0.0,0.830961812354559,0.015885288162334203,0.9628865159907481,0.12300294193040937,0.8969241641726536,0.4476923076923078,0.039400556419343195
baseline,4,0.0,0.8462572432812652,0.01580303622964475,0.9632350301281116,0.12264558710285517,0.9047461367046884,0.535076923076923,0.06253084708851175
baseline,5,0.0,0.8545662161322096,0.017575915603190738,0.9571334817140356,0.12154119273597686,0.9058498489231226,0.5242564102564099,0.06873739200630949
baseline,6,0.0,0.864916573413498,0.01573281619361028,0.9552228489754993,0.1213812811722315,0.9100697111944986,0.5691282051282051,0.07077761760504626
baseline,7,0.0,0.8707521060361836,0.014867885723597405,0.9521621344859086,0.12098209531509757,0.9114571202610461,0.5857948717948719,0.08622740630617738
baseline,8,0.0,0.8761631332418968,0.01479964319240266,0.9498864187166605,0.12057001655547077,0.9130247759792786,0.5981862618986366,0.0755839914722282
baseline,9,0.0,0.877081114185839,0.015569578747511331,0.9494271732490295,0.12054466613692087,0.9132541437174343,0.6021972386587773,0.0778777115057715
baseline,10,0.0,0.8812398692518049,0.014582050309120754,0.9474923473626296,0.12020933163397063,0.9143661083072172,0.610524311808593,0.07381682913720171
moscat,2,0.0,0.8018372751432012,0.01593510583086192,0.9708341570244202,0.1228337732802854,0.8863357160838107,0.3247692307692306,0.01251345429773643
moscat,2,0.1,0.8018372751432012,0.01593510583086192,0.9708341570244202,0.1228337732802854,0.8863357160838107,0.3247692307692306,0.01251345429773643
moscat,2,0.2,0.8018372751432012,0.01593510583086192,0.9708341570244202,0.1228337732802854,0.8863357160838107,0.3247692307692306,0.01251345429773643
moscat,2,0.30000000000000004,0.8018372751432012,0.01593510583086192,0.9708341570244202,0.1228337732802854,0.8863357160838107,0.3247692307692306,0.01251345429773643
moscat,2,0.4,0.8018372751432012,0.01593510583086192,0.9708341570244202,0.1228337732802854,0.8863357160838107,0.3247692307692306,0.01251345429773643
moscat,2,0.5,0.8018372751432012,0.01593510583086192,0.9708341570244202,0.1228337732802854,0.8863357160838107,0.3247692307692306,0.01251345429773643
moscat,2,0.6000000000000001,0.8018372751432012,0.01593510583086192,0.9708341570244202,0.1228337732802854,0.8863357160838107,0.3247692307692306,0.01251345429773643
moscat,2,0.7000000000000001,0.8018372751432012,0.01593510583086192,0.9708341570244202,0.1228337732802854,0.8863357160838107,0.3247692307692306,0.01251345429773643
moscat,2,0.8,0.8018372751432012,0.01593510583086192,0.9708341570244202,0.1228337732802854,0.8863357160838107,0.3247692307692306,0.01251345429773643
moscat,2,0.9,0.8016397986498458,0.015893340649881623,0.9708844242893276,0.12261877369915261,0.8862621114695868,0.324102564102564,0.012839409151141932
moscat,2,1.0,0.7812217973286494,0.02181617932893009,0.9846153846153847,0.12403473458920845,0.882918590972017,0.31635897435897437,0.01863131955541712
moscat,3,0.0,0.830961812354559,0.015885288162334203,0.9628865159907481,0.12300294193040937,0.8969241641726536,0.4476923076923078,0.039400556419343195
moscat,3,0.1,0.830961812354559,0.015885288162334203,0.9628865159907481,0.12300294193040937,0.8969241641726536,0.4476923076923078,0.039400556419343195
moscat,3,0.2,0.830961812354559,0.015885288162334203,0.9628865159907481,0.12300294193040937,0.8969241641726536,0.4476923076923078,0.039400556419343195
moscat,3,0.30000000000000004,0.830961812354559,0.015885288162334203,0.9628865159907481,0.12300294193040937,0.8969241641726536,0.4476923076923078,0.039400556419343195
moscat,3,0.4,0.830961812354559,0.015885288162334203,0.9628865159907481,0.12300294193040937,0.8969241641726536,0.4476923076923078,0.039400556419343195
moscat,3,0.5,0.830961812354559,0.015885288162334203,0.9628865159907481,0.12300294193040937,0.8969241641726536,0.4476923076923078,0.039400556419343195
moscat,3,0.6000000000000001,0.8309139170030021,0.015848908607574836,0.9627717762316969,0.12267392343375834,0.8968428466173495,0.4476410256410257,0.039399675147257264
moscat,3,0.7000000000000001,0.8308431947746384,0.015831268109718747,0.9626312798986791,0.12248090096385753,0.8967372373366588,0.4475897435897437,0.03924419495424562
moscat,3,0.8,0.8303231049873157,0.015946176641134277,0.9631043041494783,0.12204643095671575,0.8967137045683969,0.44661538461538464,0.040339239872663364
moscat,3,0.9,0.8047045302117078,0.0328942471392683,0.9785108121494993,0.12358857312753986,0.8916076711806037,0.3914871794871796,0.07238504000892738
moscat,3,1.0,0.7931330021986897,0.029994483675878442,0.9846153846153847,0.12403473458920845,0.8888741934070372,0.4031794871794872,0.061993589412173325
moscat,4,0.0,0.8462572432812652,0.01580303622964475,0.9632350301281116,0.12264558710285517,0.9047461367046884,0.535076923076923,0.06253084708851175
moscat,4,0.1,0.8462572432812652,0.01580303622964475,0.9632350301281116,0.12264558710285517,0.9047461367046884,0.535076923076923,0.06253084708851175
moscat,4,0.2,0.8462572432812652,0.01580303622964475,0.9632350301281116,0.12264558710285517,0.9047461367046884,0.535076923076923,0.06253084708851175
moscat,4,0.30000000000000004,0.8462572432812652,0.01580303622964475,0.9632350301281116,0.12264558710285517,0.9047461367046884,0.535076923076923,0.06253084708851175
moscat,4,0.4,0.8462572432812652,0.01580303622964475,0.9632350301281116,0.12264558710285517,0.9047461367046884,0.535076923076923,0.06253084708851175
moscat,4,0.5,0.8462572432812652,0.01580303622964475,0.9632350301281116,0.12264558710285517,0.9047461367046884,0.535076923076923,0.06253084708851175
moscat,4,0.6000000000000001,0.8462572432812652,0.01580303622964475,0.9632350301281116,0.12264558710285517,0.9047461367046884,0.535076923076923,0.06253084708851175
moscat,4,0.7000000000000001,0.846227827054795,0.015819154712955228,0.9629473841209706,0.1224261705593249,0.9045876055878829,0.5350769230769231,0.062280469150503656
moscat,4,0.8,0.8461648116103007,0.01586864604849684,0.9638274577696013,0.1221015952154182,0.904996134689951,0.5361025641025642,0.060980328199759855
moscat,4,0.9,0.8454000652035593,0.016381073517731427,0.9660050446524827,0.12201920593972171,0.905702554928021,0.5324615384615387,0.06609724770250389
moscat,4,1.0,0.8092907617010425,0.024212570461837283,0.9846153846153847,0.12403473458920845,0.8969530731582136,0.48266666666666674,0.07315128919650775
moscat,5,0.0,0.8545662161322096,0.017575915603190738,0.9571334817140356,0.12154119273597686,0.9058498489231226,0.5242564102564099,0.06873739200630949
moscat,5,0.1,0.8545662161322096,0.017575915603190738,0.9571334817140356,0.12154119273597686,0.9058498489231226,0.5242564102564099,0.06873739200630949
moscat,5,0.2,0.8545662161322096,0.017575915603190738,0.9571334817140356,0.12154119273597686,0.9058498489231226,0.5242564102564099,0.06873739200630949
moscat,5,0.30000000000000004,0.8545662161322096,0.017575915603190738,0.9571334817140356,0.12154119273597686,0.9058498489231226,0.5242564102564099,0.06873739200630949
moscat,5,0.4,0.8545662161322096,0.017575915603190738,0.9571334817140356,0.12154119273597686,0.9058498489231226,0.5242564102564099,0.06873739200630949
moscat,5,0.5,0.8545662161322096,0.017575915603190738,0.9571334817140356,0.12154119273597686,0.9058498489231226,0.5242564102564099,0.06873739200630949
moscat,5,0.6000000000000001,0.8545662161322096,0.017575915603190738,0.9571334817140356,0.12154119273597686,0.9058498489231226,0.5242564102564099,0.06873739200630949
moscat,5,0.7000000000000001,0.8545197341137686,0.01755075696864546,0.9574602365532345,0.12147665281894801,0.9059899853335015,0.5246666666666665,0.06737333795105202
moscat,5,0.8,0.8541530560398823,0.01773432831596787,0.959095437573661,0.12128627540167188,0.9066242468067717,0.5263076923076921,0.06616772426978833
moscat,5,0.9,0.821077395954887,0.02856361247252923,0.9837455882354006,0.12399090614572415,0.9024114920951438,0.4857435897435898,0.07062594073195418
moscat,5,1.0,0.8153803476969422,0.026839666974084554,0.9846153846153847,0.12403473458920845,0.8999978661561635,0.48674024526198434,0.07036799756331306
moscat,6,0.0,0.864916573413498,0.01573281619361028,0.9552228489754993,0.1213812811722315,0.9100697111944986,0.5691282051282051,0.07077761760504626
moscat,6,0.1,0.864916573413498,0.01573281619361028,0.9552228489754993,0.1213812811722315,0.9100697111944986,0.5691282051282051,0.07077761760504626
moscat,6,0.2,0.864916573413498,0.01573281619361028,0.9552228489754993,0.1213812811722315,0.9100697111944986,0.5691282051282051,0.07077761760504626
